Rating,LCSC,Manufacturer Part Number,Manufacturer,Name,Designator,Quantity

"50V X7R, 25V X5R","C960916, C100072","CL05B104KB5NNNC, CL05A104KA5NNNC","Samsung Electro-Mechanics","100nF","C1, C4, C5, C7, C8, C9, C10, C12, C13, C15, C16, C21, C26","13"
"50V C0G","C26406","CL05C120JB5NNNC","Samsung Electro-Mechanics","12pF","C2, C3","2"
"X7S","C2803389","CL31Y106KBKVPNE","Samsung Electro-Mechanics","10uF","C6, C22","2"
"10V X5R","C368809","CL05A475KP5NRNC","Samsung Electro-Mechanics","4.7uF","C11","1"
"25V X5R","C52923","CL05A105KA5NQNC","Samsung Electro-Mechanics","1uF","C14","1"
"50V X7R","C14442","CL05B102KB5NNNC","Samsung Electro-Mechanics","1nF","C17, C18, C19, C20, C25","5"
"16V X5R","C2762594","CL10A226MO7JZNC","Samsung Electro-Mechanics","22uF","C23, C24","2"
"","C353386","SMBJ16A","Jingdao Microelectronics","MSMBJ16AE3","D1","1"
"","C81034","MPZ2012S601ATD25","TDK","MPZ2012S601ATD25","FB1","1"
"","C3036056","DRV8300DPWR","Texas Instruments","DRV8300DPWR","IC1","1"
"","C529355","STM32G431CBT6TR","STMicroelectronics","STM32G431CBT6","IC2","1"
"","C266436","SMNR8040-4R7MT","Shun Xiang Nuo","4.7uH Inductor","L1","1"
"","C160405","SM06B-SRSS-TB(LF)(SN)","JST","SM06B-SRSS-TB(LF)(SN)","P1","1"
"","[NoParam], C99124","[NoParam], AOD4184A","[NoParam], AOS","AOD4184A","Q1, Q2, Q3, Q4, Q5, Q6","6"
"","C2906861","FRC0402F1002TS","FOJAN","10k","R1, R2, R3, R7, R19, R20","6"
"","C2906862","FRC0402F10R0TS","FOJAN","10R","R4, R5, R8, R9, R10, R11","6"
"","C2907088","FRC0603J104 TS","FOJAN","100k","R6, R12, R13, R14","4"
"","C2906982","FRC0603F1002TS","FOJAN","10k","R15","1"
"","C2907001","FRC0603F1802TS","FOJAN","18k","R16, R17, R18","3"
"","C49393608","C4B1802110","SAMZO","C4B1802110","S1","1"
"","C780769","AP63203WU-7","Diodes Inc.","AP63203WU-7","U1","1"
"","C2682775","X32258MOB4SI","YXC","X32258MOB4SI","Y1","1"
